technique,image_id,time_ms
Baseline_NoOp,100021_103_1.jpg,0.202
Baseline_NoOp,100021_103_2.jpg,0.178
Baseline_NoOp,100021_103_3.jpg,0.160
Baseline_NoOp,100037_80_1.jpg,0.167
Baseline_NoOp,100037_80_2.jpg,0.168
Baseline_NoOp,100037_80_3.jpg,0.168
Baseline_NoOp,100037_80_all.jpg,0.166
Baseline_NoOp,100078_71_1.jpg,0.154
Baseline_NoOp,100078_71_2.jpg,0.142
Baseline_NoOp,100111_15_1.jpg,0.160
Baseline_NoOp,100111_15_2.jpg,0.172
Baseline_NoOp,100111_15_3.jpg,0.170
Baseline_NoOp,100111_15_4.jpg,0.305
Baseline_NoOp,100111_15_5.jpg,0.147
Baseline_NoOp,100132_84_1.jpg,0.157
Baseline_NoOp,100132_84_3.jpg,0.141
Baseline_NoOp,100132_84_4.jpg,0.156
Baseline_NoOp,100142_35_1.jpg,0.135
Baseline_NoOp,100142_35_2.jpg,0.134
Baseline_NoOp,100142_35_3.jpg,0.138
Baseline_NoOp,100142_35_4.jpg,0.164
Baseline_NoOp,100142_35_5.jpg,0.134
Baseline_NoOp,100142_35_6.jpg,0.133
Baseline_NoOp,100157_47_1.jpg,0.149
Baseline_NoOp,100157_47_2.jpg,0.147
Baseline_NoOp,100157_47_3.jpg,0.129
Baseline_NoOp,100157_47_4.jpg,0.147
Baseline_NoOp,100157_47_5.jpg,0.147
Baseline_NoOp,100157_47_6.jpg,0.146
Baseline_NoOp,100157_47_7.jpg,0.149
Baseline_NoOp,100209_103_1.jpg,0.198
Baseline_NoOp,100215_4_1.jpg,0.147
Baseline_NoOp,100215_4_2.jpg,0.132
Baseline_NoOp,100215_4_3.jpg,0.146
Baseline_NoOp,100215_4_4.jpg,0.203
Baseline_NoOp,100226_77_1.jpg,0.142
Baseline_NoOp,100226_77_2.jpg,0.191
Baseline_NoOp,100226_77_all.jpg,0.131
Baseline_NoOp,100245_49_1.jpg,0.141
Baseline_NoOp,100245_49_2.jpg,0.219
Baseline_NoOp,100245_49_all.jpg,0.141
Baseline_NoOp,100271_64_1.jpg,0.145
Baseline_NoOp,100271_64_2.jpg,0.142
Baseline_NoOp,100271_64_3.jpg,0.144
Baseline_NoOp,100271_64_4.jpg,0.143
Baseline_NoOp,100271_64_5.jpg,0.141
Baseline_NoOp,100344_7_1.jpg,0.145
Baseline_NoOp,100344_7_3.jpg,0.131
Baseline_NoOp,100344_7_4.jpg,0.131
Baseline_NoOp,100344_7_5.jpg,0.147
Baseline_NoOp,100344_7_6.jpg,0.145
Baseline_NoOp,100344_7_7.jpg,0.134
Baseline_NoOp,100395_45_1.jpg,0.126
Baseline_NoOp,100395_45_2.jpg,0.122
Baseline_NoOp,100395_45_3.jpg,0.126
Baseline_NoOp,100395_45_4.jpg,0.143
Baseline_NoOp,100396_53_1.jpg,0.149
Baseline_NoOp,100396_53_2.jpg,0.132
Baseline_NoOp,100396_53_3.jpg,0.145
Baseline_NoOp,100396_53_all.jpg,0.181
Baseline_NoOp,100407_48_1.jpg,0.143
