technique,image_id,time_ms
Baseline_NoOp,100021_103_1.jpg,0.243
Baseline_NoOp,100021_103_2.jpg,0.174
Baseline_NoOp,100021_103_3.jpg,0.187
Baseline_NoOp,100037_80_1.jpg,0.196
Baseline_NoOp,100037_80_2.jpg,0.195
Baseline_NoOp,100037_80_3.jpg,0.179
Baseline_NoOp,100037_80_all.jpg,0.318
Baseline_NoOp,100078_71_1.jpg,0.264
Baseline_NoOp,100078_71_2.jpg,0.250
Baseline_NoOp,100111_15_1.jpg,0.267
Baseline_NoOp,100111_15_2.jpg,0.293
Baseline_NoOp,100111_15_3.jpg,0.356
Baseline_NoOp,100111_15_4.jpg,0.408
Baseline_NoOp,100111_15_5.jpg,0.518
Baseline_NoOp,100132_84_1.jpg,0.338
Baseline_NoOp,100132_84_3.jpg,0.292
Baseline_NoOp,100132_84_4.jpg,0.293
Baseline_NoOp,100142_35_1.jpg,0.948
Baseline_NoOp,100142_35_2.jpg,0.178
Baseline_NoOp,100142_35_3.jpg,0.180
Baseline_NoOp,100142_35_4.jpg,0.181
Baseline_NoOp,100142_35_5.jpg,0.179
Baseline_NoOp,100142_35_6.jpg,0.180
Baseline_NoOp,100157_47_1.jpg,0.177
Baseline_NoOp,100157_47_2.jpg,0.180
Baseline_NoOp,100157_47_3.jpg,0.179
Baseline_NoOp,100157_47_4.jpg,0.190
Baseline_NoOp,100157_47_5.jpg,0.233
Baseline_NoOp,100157_47_6.jpg,0.208
Baseline_NoOp,100157_47_7.jpg,0.350
Baseline_NoOp,100209_103_1.jpg,0.206
Baseline_NoOp,100215_4_1.jpg,0.233
Baseline_NoOp,100215_4_2.jpg,0.232
Baseline_NoOp,100215_4_3.jpg,0.234
Baseline_NoOp,100215_4_4.jpg,0.236
Baseline_NoOp,100226_77_1.jpg,0.259
Baseline_NoOp,100226_77_2.jpg,0.230
Baseline_NoOp,100226_77_all.jpg,0.229
Baseline_NoOp,100245_49_1.jpg,0.231
Baseline_NoOp,100245_49_2.jpg,0.229
Baseline_NoOp,100245_49_all.jpg,0.230
Baseline_NoOp,100271_64_1.jpg,0.232
Baseline_NoOp,100271_64_2.jpg,0.231
Baseline_NoOp,100271_64_3.jpg,0.226
Baseline_NoOp,100271_64_4.jpg,0.213
Baseline_NoOp,100271_64_5.jpg,0.217
Baseline_NoOp,100344_7_1.jpg,0.232
Baseline_NoOp,100344_7_3.jpg,0.232
Baseline_NoOp,100344_7_4.jpg,0.200
Baseline_NoOp,100344_7_5.jpg,0.217
Baseline_NoOp,100344_7_6.jpg,0.264
Baseline_NoOp,100344_7_7.jpg,0.178
Baseline_NoOp,100395_45_1.jpg,0.187
Baseline_NoOp,100395_45_2.jpg,0.168
Baseline_NoOp,100395_45_3.jpg,0.155
Baseline_NoOp,100395_45_4.jpg,0.153
Baseline_NoOp,100396_53_1.jpg,0.162
Baseline_NoOp,100396_53_2.jpg,0.182
Baseline_NoOp,100396_53_3.jpg,0.191
Baseline_NoOp,100396_53_all.jpg,0.176
Baseline_NoOp,100407_48_1.jpg,0.145
Baseline_NoOp,100407_48_2.jpg,0.367
Baseline_NoOp,100407_48_3.jpg,0.160
Baseline_NoOp,100409_6_1.jpg,0.157
Baseline_NoOp,100409_6_2.jpg,0.171
Baseline_NoOp,100409_6_3.jpg,0.162
Baseline_NoOp,100413_53_1.jpg,0.194
Baseline_NoOp,100413_53_2.jpg,0.221
Baseline_NoOp,100482_51_1.jpg,0.144
Baseline_NoOp,100482_51_all.jpg,0.144
Baseline_NoOp,100485_68_1.jpg,0.148
Baseline_NoOp,100485_68_2.jpg,0.147
Baseline_NoOp,100485_68_3.jpg,0.148
Baseline_NoOp,100486_82_1.jpg,0.153
Baseline_NoOp,100486_82_2.jpg,0.153
Baseline_NoOp,100486_82_3.jpg,0.196
Baseline_NoOp,100486_82_4.jpg,0.155
Baseline_NoOp,100486_82_all.jpg,0.164
Baseline_NoOp,100539_47_1.jpg,0.171
Baseline_NoOp,100539_47_2.jpg,0.161
Baseline_NoOp,100539_47_3.jpg,0.160
Baseline_NoOp,100539_47_6.jpg,0.159
Baseline_NoOp,100564_62_1.jpg,0.153
Baseline_NoOp,100564_62_2.jpg,0.173
Baseline_NoOp,100564_62_3.jpg,0.157
Baseline_NoOp,100564_62_all.jpg,0.234
Baseline_NoOp,100581_5_1.jpg,0.143
Baseline_NoOp,100581_5_2.jpg,0.163
Baseline_NoOp,100581_5_3.jpg,0.150
Baseline_NoOp,100581_5_4.jpg,0.148
Baseline_NoOp,100599_17_1.jpg,0.143
Baseline_NoOp,100599_17_2.jpg,0.158
Baseline_NoOp,100599_17_3.jpg,0.158
Baseline_NoOp,100599_17_4.jpg,0.145
Baseline_NoOp,100603_64_1.jpg,0.152
Baseline_NoOp,100603_64_2.jpg,0.151
Baseline_NoOp,100603_64_3.jpg,0.149
Baseline_NoOp,100603_64_4.jpg,0.151
Baseline_NoOp,100603_64_5.jpg,0.157
Baseline_NoOp,100603_64_6.jpg,0.155
Baseline_NoOp,100638_45_1.jpg,0.127
Baseline_NoOp,100638_45_2.jpg,0.175
Baseline_NoOp,100638_45_3.jpg,0.149
Baseline_NoOp,100638_45_4.jpg,0.205
Baseline_NoOp,100638_45_5.jpg,0.159
Baseline_NoOp,100667_80_1.jpg,0.167
Baseline_NoOp,100667_80_all.jpg,0.164
Baseline_NoOp,100668_102_1.jpg,0.170
Baseline_NoOp,100668_102_2.jpg,0.193
