technique,image_id,time_ms
Baseline_NoOp,100021_103_1.jpg,0.294
Baseline_NoOp,100021_103_2.jpg,0.192
Baseline_NoOp,100021_103_3.jpg,0.181
Baseline_NoOp,100037_80_1.jpg,0.172
Baseline_NoOp,100037_80_2.jpg,0.170
Baseline_NoOp,100037_80_3.jpg,0.349
Baseline_NoOp,100037_80_all.jpg,0.397
Baseline_NoOp,100078_71_1.jpg,0.255
Baseline_NoOp,100078_71_2.jpg,0.234
Baseline_NoOp,100111_15_1.jpg,0.272
Baseline_NoOp,100111_15_2.jpg,0.191
Baseline_NoOp,100111_15_3.jpg,0.195
Baseline_NoOp,100111_15_4.jpg,0.180
Baseline_NoOp,100111_15_5.jpg,0.205
Baseline_NoOp,100132_84_1.jpg,0.168
Baseline_NoOp,100132_84_3.jpg,0.195
Baseline_NoOp,100132_84_4.jpg,0.168
Baseline_NoOp,100142_35_1.jpg,0.207
Baseline_NoOp,100142_35_2.jpg,0.159
Baseline_NoOp,100142_35_3.jpg,0.190
Baseline_NoOp,100142_35_4.jpg,0.175
Baseline_NoOp,100142_35_5.jpg,0.135
Baseline_NoOp,100142_35_6.jpg,0.159
Baseline_NoOp,100157_47_1.jpg,0.174
Baseline_NoOp,100157_47_2.jpg,0.162
Baseline_NoOp,100157_47_3.jpg,0.158
Baseline_NoOp,100157_47_4.jpg,0.192
Baseline_NoOp,100157_47_5.jpg,0.185
Baseline_NoOp,100157_47_6.jpg,0.173
Baseline_NoOp,100157_47_7.jpg,0.137
Baseline_NoOp,100209_103_1.jpg,0.156
Baseline_NoOp,100215_4_1.jpg,0.286
Baseline_NoOp,100215_4_2.jpg,0.294
Baseline_NoOp,100215_4_3.jpg,0.244
Baseline_NoOp,100215_4_4.jpg,0.241
Baseline_NoOp,100226_77_1.jpg,0.219
Baseline_NoOp,100226_77_2.jpg,0.250
Baseline_NoOp,100226_77_all.jpg,0.196
Baseline_NoOp,100245_49_1.jpg,0.223
Baseline_NoOp,100245_49_2.jpg,0.233
Baseline_NoOp,100245_49_all.jpg,0.219
Baseline_NoOp,100271_64_1.jpg,0.224
Baseline_NoOp,100271_64_2.jpg,0.193
Baseline_NoOp,100271_64_3.jpg,0.148
Baseline_NoOp,100271_64_4.jpg,0.145
Baseline_NoOp,100271_64_5.jpg,0.145
Baseline_NoOp,100344_7_1.jpg,0.135
Baseline_NoOp,100344_7_3.jpg,0.149
Baseline_NoOp,100344_7_4.jpg,0.150
Baseline_NoOp,100344_7_5.jpg,0.151
Baseline_NoOp,100344_7_6.jpg,0.149
Baseline_NoOp,100344_7_7.jpg,0.135
Baseline_NoOp,100395_45_1.jpg,0.142
Baseline_NoOp,100395_45_2.jpg,0.130
Baseline_NoOp,100395_45_3.jpg,0.143
Baseline_NoOp,100395_45_4.jpg,0.152
Baseline_NoOp,100396_53_1.jpg,0.153
Baseline_NoOp,100396_53_2.jpg,0.152
Baseline_NoOp,100396_53_3.jpg,0.152
Baseline_NoOp,100396_53_all.jpg,0.154
Baseline_NoOp,100407_48_1.jpg,0.147
Baseline_NoOp,100407_48_2.jpg,0.148
Baseline_NoOp,100407_48_3.jpg,0.150
Baseline_NoOp,100409_6_1.jpg,0.147
Baseline_NoOp,100409_6_2.jpg,0.194
Baseline_NoOp,100409_6_3.jpg,0.257
Baseline_NoOp,100413_53_1.jpg,0.251
Baseline_NoOp,100413_53_2.jpg,0.267
Baseline_NoOp,100482_51_1.jpg,0.238
Baseline_NoOp,100482_51_all.jpg,0.237
Baseline_NoOp,100485_68_1.jpg,0.247
Baseline_NoOp,100485_68_2.jpg,0.257
Baseline_NoOp,100485_68_3.jpg,0.260
Baseline_NoOp,100486_82_1.jpg,0.256
Baseline_NoOp,100486_82_2.jpg,0.253
Baseline_NoOp,100486_82_3.jpg,0.256
Baseline_NoOp,100486_82_4.jpg,0.255
Baseline_NoOp,100486_82_all.jpg,0.257
Baseline_NoOp,100539_47_1.jpg,0.275
Baseline_NoOp,100539_47_2.jpg,0.278
Baseline_NoOp,100539_47_3.jpg,0.272
Baseline_NoOp,100539_47_6.jpg,0.328
Baseline_NoOp,100564_62_1.jpg,0.243
Baseline_NoOp,100564_62_2.jpg,0.269
Baseline_NoOp,100564_62_3.jpg,0.262
Baseline_NoOp,100564_62_all.jpg,0.239
Baseline_NoOp,100581_5_1.jpg,0.238
Baseline_NoOp,100581_5_2.jpg,0.229
Baseline_NoOp,100581_5_3.jpg,0.228
Baseline_NoOp,100581_5_4.jpg,0.226
Baseline_NoOp,100599_17_1.jpg,0.223
Baseline_NoOp,100599_17_2.jpg,0.227
Baseline_NoOp,100599_17_3.jpg,0.226
Baseline_NoOp,100599_17_4.jpg,0.223
Baseline_NoOp,100603_64_1.jpg,0.232
Baseline_NoOp,100603_64_2.jpg,0.233
Baseline_NoOp,100603_64_3.jpg,0.259
Baseline_NoOp,100603_64_4.jpg,0.142
Baseline_NoOp,100603_64_5.jpg,0.165
Baseline_NoOp,100603_64_6.jpg,0.196
Baseline_NoOp,100638_45_1.jpg,0.147
Baseline_NoOp,100638_45_2.jpg,0.158
Baseline_NoOp,100638_45_3.jpg,0.144
Baseline_NoOp,100638_45_4.jpg,0.128
Baseline_NoOp,100638_45_5.jpg,0.128
Baseline_NoOp,100667_80_1.jpg,0.161
Baseline_NoOp,100667_80_all.jpg,0.134
Baseline_NoOp,100668_102_1.jpg,0.139
Baseline_NoOp,100668_102_2.jpg,0.333
Baseline_NoOp,100668_102_3.jpg,0.140
Baseline_NoOp,100668_102_all.jpg,0.125
Baseline_NoOp,100669_8_1.jpg,0.123
Baseline_NoOp,100669_8_2.jpg,0.121
Baseline_NoOp,100669_8_3.jpg,0.123
Baseline_NoOp,100669_8_4.jpg,0.121
Baseline_NoOp,100753_70_1.jpg,0.124
Baseline_NoOp,100753_70_2.jpg,0.123
Baseline_NoOp,100753_70_all.jpg,0.285
Baseline_NoOp,100817_21_1.jpg,0.144
Baseline_NoOp,100817_21_2.jpg,0.151
Baseline_NoOp,100817_21_3.jpg,0.136
Baseline_NoOp,100817_21_4.jpg,0.136
Baseline_NoOp,10082_58_1.jpg,0.135
Baseline_NoOp,10082_58_2.jpg,0.145
Baseline_NoOp,10082_58_3.jpg,0.131
Baseline_NoOp,10082_58_4.jpg,0.189
Baseline_NoOp,10082_58_5.jpg,0.145
Baseline_NoOp,10082_58_6.jpg,0.133
Baseline_NoOp,100836_35_1.jpg,0.172
Baseline_NoOp,100836_35_2.jpg,0.156
Baseline_NoOp,100836_35_3.jpg,0.156
Baseline_NoOp,100836_35_all.jpg,0.155
Baseline_NoOp,100850_14_1.jpg,0.148
Baseline_NoOp,100850_14_2.jpg,0.148
Baseline_NoOp,100850_14_3.jpg,0.147
Baseline_NoOp,100850_14_4.jpg,0.135
Baseline_NoOp,100850_14_5.jpg,0.147
Baseline_NoOp,100850_14_6.jpg,0.164
Baseline_NoOp,100850_14_7.jpg,0.146
Baseline_NoOp,100896_17_1.jpg,0.149
Baseline_NoOp,100896_17_2.jpg,0.152
Baseline_NoOp,100896_17_3.jpg,0.150
Baseline_NoOp,100896_17_4.jpg,0.136
Baseline_NoOp,100896_17_5.jpg,0.150
Baseline_NoOp,10094_43_1.jpg,0.137
Baseline_NoOp,10094_43_2.jpg,0.150
Baseline_NoOp,10094_43_3.jpg,0.139
Baseline_NoOp,100990_6_1.jpg,0.277
Baseline_NoOp,100990_6_2.jpg,0.173
Baseline_NoOp,100990_6_3.jpg,0.180
Baseline_NoOp,100990_6_4.jpg,0.177
Baseline_NoOp,100990_6_5.jpg,0.203
Baseline_NoOp,100990_6_6.jpg,0.174
Baseline_NoOp,101038_36_1.jpg,0.176
Baseline_NoOp,101038_36_2.jpg,0.163
Baseline_NoOp,101038_36_3.jpg,0.178
Baseline_NoOp,101038_36_all.jpg,0.180
Baseline_NoOp,10104_17_1.jpg,0.148
Baseline_NoOp,10104_17_2.jpg,0.148
Baseline_NoOp,10104_17_3.jpg,0.149
Baseline_NoOp,101065_21_1.jpg,0.154
Baseline_NoOp,101065_21_2.jpg,0.153
Baseline_NoOp,101090_74_1.jpg,0.146
Baseline_NoOp,101090_74_2.jpg,0.146
Baseline_NoOp,101090_74_3.jpg,0.162
Baseline_NoOp,101090_74_4.jpg,0.147
Baseline_NoOp,101090_74_5.jpg,0.149
Baseline_NoOp,101223_39_1.jpg,0.131
Baseline_NoOp,101223_39_2.jpg,0.145
Baseline_NoOp,101223_39_all.jpg,0.145
Baseline_NoOp,101252_33_1.jpg,0.169
Baseline_NoOp,101252_33_3.jpg,0.153
Baseline_NoOp,101252_33_4.jpg,0.153
